receipt_id|marker_id
379d6ae8-9570-4b08-8118-3e267131d91c|00002
f6187c2c-46a7-4af6-9d3b-63da7cc0edb3|00001
c1903a48-051d-45af-8404-a5068831e068|00001
d5dbcec9-a56e-40fc-8497-20c613076dbf|00002
0cb1fd3b-29c3-48ad-8953-10090b23882a|00002
47866e00-5060-47cc-b7f3-c50d928aaba2|00002
0522b1cd-0207-4535-b2bf-26e1f28bb26b|00002
10070369-2646-4c9a-9b28-1faaa442c370|00001
080c0c15-f911-4c59-936e-1e01aa2ad029|00002
63972fcf-915c-4f60-9726-ef76fcb15003|00001
5a21cc67-035f-4dfe-a25e-2c98ba17b8cd|00001
f0e1d339-29e5-4035-be74-e088dde51015|00001
36aa2f8a-9ab8-4fcf-a6e8-6e77b8df452a|00001
27ad64ec-1728-4665-aacc-7a94f44884ba|00001
d762c950-8a64-4389-a3f6-83c750f52eab|00001
232461d0-d52a-404a-88b9-781163ff60a7|00001
6de9b3bd-f948-4d5c-84f3-7b6a3d7e160b|00001
7658a460-c0eb-4733-9ed1-ca02f3891f30|00001
b3992c72-816b-45e4-baa0-0f802fd0768e|00001
c7eb2425-91e5-40d7-a83b-4c7529b1b4e0|00002
486fa14f-55cf-4ece-9f8a-aa21cca88426|00001
6e62398b-5a36-4da6-8394-221895f58302|00001
a0697417-3ed3-4143-92a9-9bee0968d760|00002
7c10b759-c2d6-45ed-9bb2-4a38dc3e368a|00002
c0b39350-85dc-4a48-bce4-37e858973b4a|00001
24c5e0a9-1907-4e49-8f13-62013725e8c9|00001
ddac3e07-8cbc-47e4-838e-afdb9d463d23|00002
7d54c356-bce1-47d0-baa4-20a8f07bd5b7|00001
6f2b7a47-22ac-41ac-9666-57fdfff3380d|00001
fbc198e6-872e-49a8-9f1f-bafc258b2f02|00002
524f52d8-00f0-4a4b-ba94-74fac182259d|00001
b8ff11e2-007f-4ac5-988d-4ba98d8666a4|00001
b6f92c1d-d637-4f90-b298-c72a499aaa5c|00001
392068aa-b3c8-4e5d-b3cf-3d4a42176ae8|00001
35c80d24-1883-46bd-8dba-451645bd31b0|00002
b7471efd-23ff-479e-9908-6332f1cb9c49|00001
eaf846a0-ea45-4e8e-b6e4-6d2999c208dc|00001
3acd664d-75ce-422f-89d4-081b5d3bd776|00002
5ce24e6d-49c5-49df-b231-0bfa05131ec0|00001
0c9a8efd-5c88-4422-8c54-dfeb6a7bf58e|00002
cccf6775-8db8-45f6-af3b-ba6f91bf090b|00002
92355949-ad12-4148-a568-8a31bc1a9f77|00001
ab1799d8-a492-40e4-a8e6-0523cb291e1f|00002
e3796140-52f1-433e-a7ce-17fc9e87e6bf|00002
2d29e51b-759b-4bd7-9fab-48193bb45c37|00002
931458e8-8983-459b-939d-e91564d99988|00002
2540bd5d-b130-461f-89df-8f2c622561be|00001
f504e68a-2a8d-4660-a26c-01707322ad6b|00002
c44ceb70-a10b-4923-874b-ad4fd4e3a548|00002
117ade84-192e-4dec-885a-5a3ef5214b7c|00002
b4f5484b-d5f6-4535-91ca-c733e613ffb4|00002
5e05033e-2998-4e76-a098-0baa5fa54e18|00001
1da88885-eea5-471c-bcbb-b38ed8b09c35|00002
25626373-8145-46e1-ac06-cea5e329abfc|00001
59b72cd6-bc93-47f0-945a-015078a8067f|00002
ff2c656d-6533-42a8-96ab-145ec30fd6cb|00001
ff3a00cd-c3a0-49a7-9f7c-21cea022d2cb|00002
2611f690-a5a9-42f1-b3c5-c3c2373e7bb6|00001
9d0de7f7-9d52-4f63-a87d-0bde9a022af4|00001
091a51d4-dcdd-4c9b-9445-6b02878f4c8f|00002
6a7380c0-af15-435d-9afa-8cdfc790f908|00001
37aca006-6269-421d-9fcf-2db0beacd382|00001
e8b013d5-b8b6-4d7a-bc29-b19fe2011437|00001
e601c454-9a19-41c2-be69-4592a2095852|00002
3798b7d8-ad23-45ad-95d0-202a84df2152|00001
168a0301-5e30-416c-9be3-60af23318f8e|00002
475d300e-5780-4700-8bd7-4be9084f9925|00001
891e3b13-d3e6-4dc8-ab91-bba8dcd572a1|00001
f6f4ad5a-3f08-45e1-8427-a43540614cbf|00001
00878533-b793-4b3e-b49b-cab8f7faea1d|00002
56c69c0d-5cbc-4829-ad04-543f2397cd34|00001
bb78fea6-e32b-40db-8c66-09bb3eae569f|00002
e6329c73-43cf-411b-858a-cdf2c3062f70|00001
bcd2f3d7-23fa-4e07-a9cf-aa920be708ae|00002
4d77d434-4995-40a3-9f19-776f93ee9b04|00002
e5a3418e-ed2a-481a-9984-51913358d843|00001
7d8880b9-55e8-4970-817c-57c2a23a065a|00002
36dea30a-faac-4af7-a2b2-ca91affab7fd|00002
cc182aac-5756-4702-8f1d-b73688cf4e82|00001
14e76f9b-d532-4b81-b3fa-18833a7e2e11|00002
973f6521-ec37-4316-8452-b1b2a2d508eb|00001
edac1358-90c8-4fda-83df-299705c3763a|00001
aaa9d60f-e143-4af4-87f1-e63a115e2647|00001
a7c71f13-0965-4c28-9ab0-3eb95c0a799c|00001
ec670f6f-c501-406b-ae95-651d65984fc8|00001
4d4a8145-ad46-4ae8-bfd0-ee635038d4dd|00002
405936f3-49f1-47f3-bd36-a544eafcc5b0|00001
